Date,AMD
2020-05-15,39.21531748393225
2020-05-18,39.3192460574801
2020-05-19,39.426746058085605
2020-05-20,39.54099209346469
2020-05-21,39.65623018476698
2020-05-22,39.7643254295228
2020-05-26,39.87865081666008
2020-05-27,39.98480160274203
2020-05-28,40.07880954893808
2020-05-29,40.17265876134237
2020-06-01,40.27492066035195
2020-06-02,40.378968284243626
2020-06-03,40.4819841611953
2020-06-04,40.573888922494554
2020-06-05,40.665674641018825
2020-06-08,40.75011908061921
2020-06-09,40.83170638765608
2020-06-10,40.92361114895533
2020-06-11,41.02293654093667
2020-06-12,41.10488099143619
2020-06-15,41.19261908909631
2020-06-16,41.28912702439323
2020-06-17,41.389365112970744
2020-06-18,41.48500002755059
2020-06-19,41.57841272959634
2020-06-22,41.67452383798266
2020-06-23,41.776349226633705
2020-06-24,41.87448415302095
2020-06-25,41.9678571640499
2020-06-26,42.055198434799436
2020-06-29,42.13202382647802
2020-06-30,42.21103175481161
2020-07-01,42.29599207166641
2020-07-02,42.380674619523305
2020-07-06,42.46460318943811
2020-07-07,42.551507957397945
2020-07-08,42.63440478037274
2020-07-09,42.71488096600487
2020-07-10,42.80801587634616
2020-07-13,42.8985714306907
2020-07-14,42.979444450802276
2020-07-15,43.060119061242965
2020-07-16,43.145396845681326
2020-07-17,43.230000019073486
2020-07-20,43.317460340166846
2020-07-21,43.41646827970232
2020-07-22,43.51230161909073
2020-07-23,43.62460320336478
2020-07-24,43.72563494576348
2020-07-27,43.86742067337036
2020-07-28,44.006111152588375
2020-07-29,44.141547664763436
2020-07-30,44.309087337009494
2020-07-31,44.49857144885593
2020-08-03,44.68734128891476
2020-08-04,44.87873016841828
2020-08-05,45.10511906184848
2020-08-06,45.32912698624626
2020-08-07,45.557380948747905
2020-08-10,45.7594841245621
2020-08-11,45.95015872470916
2020-08-12,46.1265476014879
2020-08-13,46.32694442688473
2020-08-14,46.531706318022714
2020-08-17,46.73658728221106
2020-08-18,46.93992060706729
2020-08-19,47.13904760754298
2020-08-20,47.338928548116535
2020-08-21,47.54158726192656
2020-08-24,47.74757931724427
2020-08-25,47.96003963833763
2020-08-26,48.18253962955777
2020-08-27,48.40404754971701
2020-08-28,48.6144443844992
2020-08-31,48.829126933264355
2020-09-01,49.06472216712104
2020-09-02,49.307896773020424
2020-09-03,49.543095187535364
2020-09-04,49.74563487370809
2020-09-08,49.94980155097114
2020-09-09,50.14103171938942
2020-09-10,50.34611110081748
2020-09-11,50.54142857354785
2020-09-14,50.724484118204266
2020-09-15,50.91182539198134
2020-09-16,51.102698409368124
2020-09-17,51.283928583538724
2020-09-18,51.46698415090167
2020-09-21,51.6441270056225
2020-09-22,51.83416670087784
2020-09-23,52.020912722935755
2020-09-24,52.20031749634516
2020-09-25,52.38396828515189
2020-09-28,52.57678573850601
2020-09-29,52.778214325980535
2020-09-30,52.987658758012074
2020-10-01,53.19888890735687
2020-10-02,53.42329367380294
2020-10-05,53.63408733549572
2020-10-06,53.86083337238857
2020-10-07,54.08126989243522
2020-10-08,54.31325403092399
2020-10-09,54.54361118589129
2020-10-12,54.76075404030936
2020-10-13,54.97718261537098
2020-10-14,55.19444451256404
2020-10-15,55.406706416417684
2020-10-16,55.61432545525687
2020-10-19,55.82079370438107
2020-10-20,56.02329370710585
2020-10-21,56.21984132130941
2020-10-22,56.409087340037026
2020-10-23,56.599801616063196
2020-10-26,56.79916669452001
2020-10-27,56.995674647982156
2020-10-28,57.17500003935799
2020-10-29,57.3471032248603
2020-10-30,57.5252381279355
2020-11-02,57.68936511448452
2020-11-03,57.847341295272585
2020-11-04,58.007222251286585
2020-11-05,58.18658731854151
2020-11-06,58.37337303161621
2020-11-09,58.57019842238653
2020-11-10,58.756031762985955
2020-11-11,58.92142857445611
2020-11-12,59.098293652610174
2020-11-13,59.27416665213449
2020-11-16,59.44511904035296
2020-11-17,59.62436507997059
2020-11-18,59.79690476069375
2020-11-19,59.960595236884224
2020-11-20,60.13742063915919
2020-11-23,60.31646825396825
2020-11-24,60.49964284139966
2020-11-25,60.67932537623814
2020-11-27,60.868690445309596
2020-11-30,61.05829363020639
2020-12-01,61.27063490852477
2020-12-02,61.484523788331046
2020-12-03,61.702142821417915
2020-12-04,61.910952340988885
2020-12-07,62.126904729812864
2020-12-08,62.342936470395045
2020-12-09,62.55718249366397
2020-12-10,62.75714282383994
2020-12-11,62.96424600813124
2020-12-14,63.158928553263344
2020-12-15,63.37174600268167
2020-12-16,63.58908728947715
2020-12-17,63.80369045620873
2020-12-18,64.02011901613265
2020-12-21,64.23079360477509
2020-12-22,64.42555551680307
2020-12-23,64.61484124925401
2020-12-24,64.79345236884222
2020-12-28,64.97273806920127
2020-12-29,65.15297615717328
2020-12-30,65.33194442022415
2020-12-31,65.5161904531812
2021-01-04,65.68527775719052
2021-01-05,65.85869047376845
2021-01-06,66.03480157398042
2021-01-07,66.20178570823064
2021-01-08,66.38960317581419
2021-01-11,66.57059524172828
2021-01-12,66.76535715375628
2021-01-13,66.95031747363862
2021-01-14,67.12321429782443
2021-01-15,67.29083335210406
2021-01-19,67.44337302919418
2021-01-20,67.59623015873017
2021-01-21,67.74583333636087
2021-01-22,67.90496031443278
2021-01-25,68.06797619471475
2021-01-26,68.24170634860084
2021-01-27,68.42206349448553
2021-01-28,68.57408729432122
2021-01-29,68.73285712893048
2021-02-01,68.87912697262234
2021-02-02,69.04047619350372
2021-02-03,69.20253968617273
2021-02-04,69.35507936326285
2021-02-05,69.5058729989188
2021-02-08,69.65896824428013
2021-02-09,69.82460317157563
